"site","start_yr","end_yr","n_obsv","AgencyCd","SiteName","DecLatVa","DecLongVa","AltVa","AltUnitsNm","WellDepth","WellDepthUnitsNm","NatAquiferCd","NatAqfrDesc","StateCd","StateNm","CountyCd","CountyNm","LocalAquiferCd","LocalAquiferName","SiteType","AquiferType","link"
"V42V4",2004,2020,5669,"NCDWR","Du Pont",34.845259,-78.850955,151.099,"Feet",268,"Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system",37,"North Carolina",17,"Bladen County","Kucfcu","Upper Cape Fear CU","WELL","CONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/v42v4151817lev.txt"
"V42V5",2004,2020,5763,"NCDWR","Du Pont",34.845259,-78.850955,150.919,"Feet",325,"Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system",37,"North Carolina",17,"Bladen County","Kucf","Upper Cape Fear","WELL","CONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/v42v5151819lev.txt"
"V42V6",2004,2020,5542,"NCDWR","Du Pont",34.845259,-78.850955,150.779,"Feet",95,"Feet","S100SURFCL","Surficial aquifer system",37,"North Carolina",17,"Bladen County","S","Surficial","WELL","UNCONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/v42v6151822lev.txt"
"V45U2",2000,2020,3555,"NCDWR","Rex Rennert School",34.843151,-79.087593,183.115,"Feet",353,"Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system",37,"North Carolina",155,"Robeson County","Kucf","Upper Cape Fear","WELL","CONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/v45u2151824lev.txt"
"V45U4",1999,2020,5445,"NCDWR","Rex Rennert School",34.84,-79.09,185.21,"Feet",132,"Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system",37,"North Carolina",155,"Robeson County","Kbc","Black Creek","WELL","CONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/v45u4151826lev.txt"
"V45U6",1999,2020,3609,"NCDWR","Rex Rennert School",34.84,-79.09,183.75,"Feet",100,"Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system",37,"North Carolina",155,"Robeson County","Kbc","Black Creek","WELL","CONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/v45u6151828lev.txt"
"V45U7",2000,2020,3842,"NCDWR","Rex Rennert School",34.84,-79.09,183.78,"Feet",30,"Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system",37,"North Carolina",155,"Robeson County","Kbc","Black Creek","WELL","CONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/v45u7151830lev.txt"
"W41X1",2004,2020,4963,"NCDWR","Smithfield McNair House",34.760652,-78.802587,146.713,"Feet",200,"Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system",37,"North Carolina",17,"Bladen County","Kbc","Black Creek","WELL","CONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/w41x1151832lev.txt"
"W41X2",2004,2020,5289,"NCDWR","Smithfield McNair House",34.760652,-78.802587,147.053,"Feet",420,"Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system",37,"North Carolina",17,"Bladen County","Kucf","Upper Cape Fear","WELL","CONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/w41x2151834lev.txt"
"X44K4",1999,2020,5584,"NCDWR","Magnolia School",34.709867,-79.001589,146.686,"Feet",31,"Feet","S100SURFCL","Surficial aquifer system",37,"North Carolina",155,"Robeson County","S","Surficial","WELL","UNCONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/x44k4151836lev.txt"
"X44K7",2006,2020,4906,"NCDWR","Magnolia School",34.71,-79,146.97,"Feet",201,"Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system",37,"North Carolina",155,"Robeson County","Kbc","Black Creek","WELL","CONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/x44k7151838lev.txt"
"X44K8",2006,2020,4086,"NCDWR","Magnolia School",34.71,-79,147.22,"Feet",350,"Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system",37,"North Carolina",155,"Robeson County","Kucf","Upper Cape Fear","WELL","CONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/x44k8151841lev.txt"
"X44K9",2006,2020,3816,"NCDWR","Magnolia School",34.71,-79,147.16,"Feet",440,"Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system",37,"North Carolina",155,"Robeson County","Kucf","Upper Cape Fear","WELL","CONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/x44k9151843lev.txt"
"X47K3",2006,2020,3770,"NCDWR","Red Bank",34.71,-79.26,175.41,"Feet",453,"Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system",37,"North Carolina",155,"Robeson County","Kucf","Upper Cape Fear","WELL","CONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/x47k3151844lev.txt"
"Y34P2",1996,2020,5732,"NCDWR","Ivanhoe",34.60453,-78.241805,29.988,"Feet",220,"Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system",37,"North Carolina",163,"Sampson County","Kbc","Black Creek","WELL","CONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/y34p2151847lev.txt"
"Y34P3",1996,2020,5913,"NCDWR","Ivanhoe",34.60453,-78.241805,30.008,"Feet",33,"Feet","S100SURFCL","Surficial aquifer system",37,"North Carolina",163,"Sampson County","S","Surficial","WELL","UNCONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/y34p3151849lev.txt"
"Y34P7",2012,2020,2633,"NCDWR","Ivanhoe",34.604516,-78.24184,29.738,"Feet",135,"Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system",37,"North Carolina",163,"Sampson County","Kpd","Peedee","WELL","CONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/y34p7151851lev.txt"
"Y34P9",2013,2020,2613,"NCDWR","Ivanhoe",34.604516,-78.24184,29.478,"Feet",458,"Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system",37,"North Carolina",163,"Sampson County","Kucf","Upper Cape Fear","WELL","CONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/y34p9151853lev.txt"
"Y40G1",2004,2020,5519,"NCDWR","Dublin",34.65,-78.73,142.85,"Feet",421,"Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system",37,"North Carolina",17,"Bladen County","Kucf","Upper Cape Fear","WELL","CONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/y40g1151854lev.txt"
"Y40G2",2004,2020,5676,"NCDWR","Dublin",34.65,-78.73,142.71,"Feet",292,"Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system",37,"North Carolina",17,"Bladen County","Kbc","Black Creek","WELL","CONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/y40g2151856lev.txt"
"Y40G3",2004,2020,5715,"NCDWR","Dublin",34.65,-78.73,143.04,"Feet",186,"Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system",37,"North Carolina",17,"Bladen County","Kubc","Upper Black Creek","WELL","CONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/y40g3151859lev.txt"
"Y40G4",2004,2020,4726,"NCDWR","Dublin",34.65,-78.73,142.19,"Feet",40,"Feet","S100SURFCL","Surficial aquifer system",37,"North Carolina",17,"Bladen County","S","Surficial","WELL","UNCONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/y40g4151901lev.txt"
"Y40G5",2004,2020,5650,"NCDWR","Dublin",34.65,-78.73,142.18,"Feet",85,"Feet","S100SURFCL","Surficial aquifer system",37,"North Carolina",17,"Bladen County","S","Surficial","WELL","UNCONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/y40g5151903lev.txt"
"Y42F10",2000,2020,5885,"NCDWR","Littlefield School",34.64,-78.92,139.36,"Feet",330,"Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system",37,"North Carolina",155,"Robeson County","Kbc","Black Creek","WELL","CONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/y42f10151905lev.txt"
"Y42F11",2000,2020,5720,"NCDWR","Littlefield School",34.644442,-78.915974,140.269,"Feet",155,"Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system",37,"North Carolina",155,"Robeson County","Kubc","Upper Black Creek","WELL","CONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/y42f11151907lev.txt"
"Y42F12",2000,2020,6004,"NCDWR","Littlefield School",34.644442,-78.915974,140.229,"Feet",20,"Feet","S100SURFCL","Surficial aquifer system",37,"North Carolina",155,"Robeson County","S","Surficial","WELL","UNCONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/y42f12151910lev.txt"
"Y44O4",1999,2020,5950,"NCDWR","Robeson Correctional Center",34.623512,-79.075071,123.302,"Feet",40,"Feet","S100SURFCL","Surficial aquifer system",37,"North Carolina",155,"Robeson County","S","Surficial","WELL","UNCONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/y44o4151912lev.txt"
"Y44O6",1999,2020,5856,"NCDWR","Robeson Correctional Center",34.623512,-79.075071,122.602,"Feet",495,"Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system",37,"North Carolina",155,"Robeson County","Kucf","Upper Cape Fear","WELL","CONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/y44o6151915lev.txt"
